=========================== START ===================================
Adding packet with sequence number 0 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 122, A-MPDU size = 126
Adding packet with sequence number 1172 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2389
Adding packet with sequence number 1173 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2493
Adding packet with sequence number 1174 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2597
Adding packet with sequence number 1175 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2701
Adding packet with sequence number 1176 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2805
Adding packet with sequence number 1177 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2909
Adding packet with sequence number 1178 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3013
Adding packet with sequence number 1179 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3117
Adding packet with sequence number 1180 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3221
Adding packet with sequence number 1181 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3325
Adding packet with sequence number 1182 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3429
Adding packet with sequence number 1183 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3533
Adding packet with sequence number 1184 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3637
Adding packet with sequence number 1185 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3741
Adding packet with sequence number 1186 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3845
Adding packet with sequence number 1187 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3949
Adding packet with sequence number 1188 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4053
Adding packet with sequence number 1189 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4157
Adding packet with sequence number 1190 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4261
Adding packet with sequence number 1191 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4365
Adding packet with sequence number 1192 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4469
Adding packet with sequence number 1193 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4573
Adding packet with sequence number 1194 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4677
Adding packet with sequence number 1195 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4781
Adding packet with sequence number 1196 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4885
Adding packet with sequence number 1197 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4989
Adding packet with sequence number 1198 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5093
Adding packet with sequence number 1199 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5197
Adding packet with sequence number 1200 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5301
Adding packet with sequence number 1201 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5405
Adding packet with sequence number 1202 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5509
Adding packet with sequence number 1203 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5613
Adding packet with sequence number 1204 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5717
Adding packet with sequence number 1205 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5821
Adding packet with sequence number 1206 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5925
Adding packet with sequence number 1207 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6029
Adding packet with sequence number 1208 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6133
Adding packet with sequence number 1209 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6237
Adding packet with sequence number 1210 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6341
Adding packet with sequence number 1211 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6445
Adding packet with sequence number 1212 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6549
Adding packet with sequence number 1213 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6653
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 1214 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 101
Adding packet with sequence number 1215 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 205
Adding packet with sequence number 1216 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 309
Adding packet with sequence number 1217 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 413
Adding packet with sequence number 1218 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 517
Adding packet with sequence number 1219 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 621
Adding packet with sequence number 1220 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 725
Adding packet with sequence number 1221 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 829
Adding packet with sequence number 1222 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 933
Adding packet with sequence number 1223 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1037
Adding packet with sequence number 1224 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1141
Adding packet with sequence number 1225 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1245
Adding packet with sequence number 1226 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1349
Adding packet with sequence number 1227 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1453
Adding packet with sequence number 1228 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1557
Adding packet with sequence number 1229 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1661
Adding packet with sequence number 1230 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1765
Adding packet with sequence number 1231 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1869
Adding packet with sequence number 1232 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1973
Adding packet with sequence number 1233 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2077
Adding packet with sequence number 1234 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2181
Adding packet with sequence number 1235 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2285
Adding packet with sequence number 1236 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2389
Adding packet with sequence number 1237 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2493
Adding packet with sequence number 1238 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2597
Adding packet with sequence number 1239 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2701
Adding packet with sequence number 1240 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2805
Adding packet with sequence number 1241 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2909
Adding packet with sequence number 1242 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3013
Adding packet with sequence number 1243 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3117
Adding packet with sequence number 1244 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3221
Adding packet with sequence number 1245 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3325
Adding packet with sequence number 1246 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3429
Adding packet with sequence number 1247 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3533
Adding packet with sequence number 1248 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3637
Adding packet with sequence number 1249 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3741
Adding packet with sequence number 1250 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3845
Adding packet with sequence number 1251 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3949
Adding packet with sequence number 1252 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4053
Adding packet with sequence number 1253 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4157
Adding packet with sequence number 1254 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4261
Adding packet with sequence number 1255 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4365
Adding packet with sequence number 1256 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4469
Adding packet with sequence number 1257 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4573
Adding packet with sequence number 1258 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4677
Adding packet with sequence number 1259 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4781
Adding packet with sequence number 1260 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4885
Adding packet with sequence number 1261 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4989
Adding packet with sequence number 1262 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5093
Adding packet with sequence number 1263 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5197
Adding packet with sequence number 1264 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5301
Adding packet with sequence number 1265 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5405
Adding packet with sequence number 1266 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5509
Adding packet with sequence number 1267 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5613
Adding packet with sequence number 1268 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5717
Adding packet with sequence number 1269 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5821
Adding packet with sequence number 1270 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5925
Adding packet with sequence number 1271 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6029
Adding packet with sequence number 1272 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6133
Adding packet with sequence number 1273 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6237
Adding packet with sequence number 1274 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6341
Adding packet with sequence number 1275 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6445
Adding packet with sequence number 1276 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6549
Adding packet with sequence number 1277 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6653
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 1278 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 101
Adding packet with sequence number 1279 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 205
Adding packet with sequence number 1280 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 309
Adding packet with sequence number 1281 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 413
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 1282 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 101
Adding packet with sequence number 1283 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 205
Adding packet with sequence number 1284 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 309
Adding packet with sequence number 1285 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 413
Adding packet with sequence number 1286 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 517
Adding packet with sequence number 1287 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 621
Adding packet with sequence number 1288 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 725
Adding packet with sequence number 1289 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 829
Adding packet with sequence number 1290 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 933
Adding packet with sequence number 1291 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1037
Adding packet with sequence number 1292 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1141
Adding packet with sequence number 1293 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1245
Adding packet with sequence number 1294 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1349
Adding packet with sequence number 1295 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1453
Adding packet with sequence number 1296 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1557
Adding packet with sequence number 1297 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1661
Adding packet with sequence number 1298 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1765
Adding packet with sequence number 1299 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1869
Adding packet with sequence number 1300 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1973
Adding packet with sequence number 1301 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2077
Adding packet with sequence number 1302 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2181
Adding packet with sequence number 1303 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2285
Adding packet with sequence number 1304 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2389
Adding packet with sequence number 1305 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2493
Adding packet with sequence number 1306 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2597
Adding packet with sequence number 1307 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2701
Adding packet with sequence number 1308 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2805
Adding packet with sequence number 1309 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2909
Adding packet with sequence number 1310 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3013
Adding packet with sequence number 1311 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3117
Adding packet with sequence number 1312 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3221
Adding packet with sequence number 1313 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3325
Adding packet with sequence number 1314 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3429
Adding packet with sequence number 1315 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3533
Adding packet with sequence number 1316 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3637
Adding packet with sequence number 1317 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3741
Adding packet with sequence number 1318 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3845
Adding packet with sequence number 1319 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3949
Adding packet with sequence number 1320 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4053
Adding packet with sequence number 1321 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4157
Adding packet with sequence number 1322 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4261
Adding packet with sequence number 1323 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4365
Adding packet with sequence number 1324 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4469
Adding packet with sequence number 1325 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4573
Adding packet with sequence number 1326 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4677
Adding packet with sequence number 1327 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4781
Adding packet with sequence number 1328 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4885
Adding packet with sequence number 1329 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4989
Adding packet with sequence number 1330 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5093
Adding packet with sequence number 1331 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5197
Adding packet with sequence number 1332 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5301
Adding packet with sequence number 1333 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5405
Adding packet with sequence number 1334 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5509
Adding packet with sequence number 1335 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5613
Adding packet with sequence number 1336 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5717
Adding packet with sequence number 1337 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5821
Adding packet with sequence number 1338 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 5925
Adding packet with sequence number 1339 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6029
Adding packet with sequence number 1340 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6133
Adding packet with sequence number 1341 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6237
Adding packet with sequence number 1342 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6341
Adding packet with sequence number 1343 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6445
Adding packet with sequence number 1344 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6549
Adding packet with sequence number 1345 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 6653
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 1346 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 101
Adding packet with sequence number 1347 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 205
Adding packet with sequence number 1348 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 309
Adding packet with sequence number 1349 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 413
Adding packet with sequence number 1350 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 517
Adding packet with sequence number 1351 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 621
Adding packet with sequence number 1352 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 725
Adding packet with sequence number 1353 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 829
Adding packet with sequence number 1354 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 933
Adding packet with sequence number 1355 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1037
Adding packet with sequence number 1356 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1141
Adding packet with sequence number 1357 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1245
Adding packet with sequence number 1358 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1349
Adding packet with sequence number 1359 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1453
Adding packet with sequence number 1360 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1557
Adding packet with sequence number 1361 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1661
Adding packet with sequence number 1362 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1765
Adding packet with sequence number 1363 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1869
Adding packet with sequence number 1364 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1973
Adding packet with sequence number 1365 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2077
Adding packet with sequence number 1366 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2181
Adding packet with sequence number 1367 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2285
Adding packet with sequence number 1368 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2389
Adding packet with sequence number 1369 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2493
Adding packet with sequence number 1370 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2597
Adding packet with sequence number 1371 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2701
Adding packet with sequence number 1372 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2805
Adding packet with sequence number 1373 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2909
Adding packet with sequence number 1374 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3013
Adding packet with sequence number 1375 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3117
Adding packet with sequence number 1376 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3221
Adding packet with sequence number 1377 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3325
Adding packet with sequence number 1378 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3429
Adding packet with sequence number 1379 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3533
Adding packet with sequence number 1380 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3637
Adding packet with sequence number 1381 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3741
Adding packet with sequence number 1382 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3845
Adding packet with sequence number 1383 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 3949
Adding packet with sequence number 1384 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4053
Adding packet with sequence number 1385 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4157
Adding packet with sequence number 1386 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4261
Adding packet with sequence number 1387 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4365
Adding packet with sequence number 1388 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4469
Adding packet with sequence number 1389 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4573
Adding packet with sequence number 1390 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 4677
=========================== End ===================================
=========================== START ===================================
Adding packet with sequence number 1391 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 101
Adding packet with sequence number 1392 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 205
Adding packet with sequence number 1393 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 309
Adding packet with sequence number 1394 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 413
Adding packet with sequence number 1395 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 517
Adding packet with sequence number 1396 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 621
Adding packet with sequence number 1397 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 725
Adding packet with sequence number 1398 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 829
Adding packet with sequence number 1399 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 933
Adding packet with sequence number 1400 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1037
Adding packet with sequence number 1401 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1141
Adding packet with sequence number 1402 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1245
Adding packet with sequence number 1403 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1349
Adding packet with sequence number 1404 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1453
Adding packet with sequence number 1405 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1557
Adding packet with sequence number 1406 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1661
Adding packet with sequence number 1407 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1765
Adding packet with sequence number 1408 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1869
Adding packet with sequence number 1409 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 1973
Adding packet with sequence number 1410 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2077
Adding packet with sequence number 1411 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2181
Adding packet with sequence number 1412 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2285
Adding packet with sequence number 1413 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2389
Adding packet with sequence number 1414 to A-MPDU (destined to 00:00:00:00:00:24), packet size = 97, A-MPDU size = 2493
